3,3,5,54,29,4
2,2,4,7,13,3
38,24,32,105,553,30
7,7,9,21,183,4
8,6,9,9,36,4
9,10,15,161,198,15
9,13,24,14,132,9
5,6,15,25,57,19
12,19,13,94,105,10
1,1,1,0,0,0
1,0,0,0,0,0
1,3,8,1,3,4
3,3,3,1,4,6
5,3,3,2,6,16
3,6,4,23,3,5
2,7,1,3,1,2
3,6,4,21,9,3
5,1,7,15,9,3
2,2,3,4,5,2
1,0,0,0,0,0
6,3,3,12,18,32
6,9,14,40,12,97
1,1,4,1,1,14
11,4,15,52,100,11
8,8,8,40,213,12
4,1,3,1,6,2
2,3,4,51,4,8
4,3,4,2,73,6
4,3,3,4,18,6
16,23,14,18,211,117
2,3,4,18,38,16
1,3,6,3,3,37
4,5,5,6,8,68
3,2,5,8,8,51
2,3,3,8,4,89
7,3,5,5,3,92
2,0,0,0,1,0
2,2,4,1,6,18
5,4,13,1,11,7
1,1,1,1,0,0
3,5,5,4,7,192
2,4,2,4,2,97
0,0,0,0,3,0
3,3,2,5,1,96
2,1,1,3,6,12
8,9,4,17,47,17
3,4,1,1,1,13
2,4,7,13,115,16
5,7,9,5,3,267
1,1,2,2,1,6
4,2,3,1,4,103
4,3,4,3,5,85
3,5,0,0,0,0
1,3,1,6,2,12
2,3,3,25,14,5
1,2,1,12,4,6
7,12,17,19,30,13
2,5,3,2,1,8
3,3,1,2,7,6
3,5,4,7,2,53
3,2,3,1,4,13
5,3,4,8,11,76
5,7,2,2,2,127
1,1,1,1,1,3
10,6,3,11,11,10
2,4,1,3,18,7
1,0,0,0,0,0
2,5,1,1,2,42
1,3,7,2,2,0
2,2,1,0,0,0
4,13,12,12,14,478
2,1,4,2,0,43
5,10,10,38,165,5
1,3,3,5,9,1
5,6,2,32,30,3
1,1,4,2,2,40
8,1,1,0,0,0
7,3,6,3,2,43
3,6,4,1,1,38
1,1,0,1,0,23
6,3,2,18,3,34
1,2,0,0,0,0
4,1,0,0,0,0
27,30,62,7,11,2
2,1,1,1,1,0
1,1,2,5,2,1
21,3,17,9,19,1
3,1,6,1,1,0
9,4,61,20,1,1
21,18,28,9,3,3
5,11,165,52,47,6
29,20,598,521,455,31
1,1,0,0,1,1
7,7,58,48,144,8
10,12,76,350,110,14
4,3,0,0,0,0
4,5,21,16,16,3
5,20,1,6,5,1
1,7,2,2,3,1
1,4,13,10,13,7
4,11,81,48,72,8
1,1,1,0,0,0
12,20,22,130,139,17
10,13,128,57,130,11
2,1,1,0,0,0
9,9,93,103,71,33
2,3,2,2,3,18
1,2,3,3,4,4
1,1,0,0,0,0
10,1,1,0,0,0
5,1,66,9,1,13
1,2,0,0,0,0
12,0,0,0,0,0
6,1,4,0,0,1
1,1,1,3,2,1
24,4,29,20,1,1
22,29,0,1,0,2
1,3,34,48,30,3
7,14,78,187,182,7
13,0,0,0,0,0
2,5,11,9,11,5
2,33,20,18,18,6
13,0,0,0,1,0
1,1,1,1,1,0
71,2,2,1,3,2
1,0,0,0,0,0
3,7,56,49,88,2
6,14,127,112,68,6
1,1,2,1,1,2
7,5,8,5,7,312
2,1,2,3,4,45
2,0,0,0,0,0
2,1,1,2,3,36
0,0,0,0,0,0
2,1,1,1,2,3
1,2,1,1,0,0
2,0,0,0,0,0
2,7,10,1,0,2
2,0,0,0,0,0
1,3,0,0,0,0
4,0,0,0,0,0
0,0,0,0,0,0
23,1,20,1,15,1
16,0,0,0,0,0
2,2,2,1,3,1
14,1,0,1,0,3
5,0,0,0,0,0
2,1,1,1,2,1
9,0,9,0,0,0
0,0,0,0,0,2
1,1,0,0,0,0
46,5,192,5,4,87
38,0,1,0,0,0
8,14,30,185,120,8
3,4,13,10,10,2
1,1,5,0,0,3
1,3,1,1,1,7
0,0,0,0,0,13
0,0,0,0,0,0
1,1,1,1,1,4
9,4,0,0,1,0
2,7,0,0,0,0
3,1,5,1,2,2
1,0,0,0,0,0
12,6,4,19,67,2
3,6,11,29,12,6
3,4,0,0,1,0
6,1,44,18,26,4
8,4,15,51,13,1
3,4,0,0,0,0
7,2,34,5,5,1
1,1,4,2,17,3
3,31,5,22,110,1
5,0,0,0,0,0
6,8,28,6,2,1
14,3,72,18,5,3
1,4,2,0,1,0
4,6,1,2,1,2
1,1,1,1,1,2
1,2,1,0,0,1
5,13,6,1,1,8
1,6,3,2,11,8
1,2,5,3,14,4
6,5,51,3,9,3
2,27,8,4,2,2
8,11,10,7,14,4
3,7,24,20,10,19
1,1,1,1,2,1
1,9,1,6,5,3
1,1,1,2,1,0
2,0,0,0,0,0
1,2,18,23,3,17
7,3,16,5,5,8
2,0,0,0,0,0
3,2,1,24,1,1
5,4,2,49,3,1
3,1,0,0,1,0
5,9,0,0,1,2
2,1,3,3,6,2
6,35,0,1,0,0
1,1,2,0,0,0
7,14,12,2,4,1
3,11,15,30,1,1
1,1,0,0,0,0
3,5,2,2,1,2
1,2,0,0,0,0
4,0,0,0,0,0
5,4,22,6,6,1
19,15,2,2,16,1
4,9,1,30,3,1
33,1,12,7,9,11
1,12,1,4,3,9
2,21,1,0,0,0
10,1,1,1,18,0
1,0,0,0,0,0
3,9,0,0,0,0
1,2,4,5,2,1
1,0,0,0,0,0
1,3,2,5,1,0
1,2,4,1,1,0
2,0,0,0,0,0
7,0,0,0,0,0
19,8,0,0,3,0
2,0,0,0,0,0
10,0,0,0,0,0
1,2,1,1,1,2
2,0,0,0,0,0
0,0,0,0,0,3
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
2,0,0,0,0,0
6,5,2,67,19,4
5,1,2,3,1,4
3,1,0,1,0,8
12,24,2,1,0,0
2,0,0,4,0,0
10,1,0,0,0,0
35,2,0,0,0,0
1,0,0,0,0,3
18,0,1,1,0,0
10,17,5,79,129,7
6,10,4,32,31,1
105,92,148,280,1913,48
12,20,24,42,443,11
15,15,56,76,21,3
81,86,85,668,644,23
29,14,13,300,86,7
31,29,25,44,228,7
34,42,28,169,335,12
1,1,2,1,1,0
1,1,1,1,0,0
4,19,4,2,3,11
5,3,6,16,10,3
29,9,4,88,5,2
8,6,42,56,11,6
5,7,4,3,25,3
20,13,6,189,145,10
7,11,8,53,76,6
3,3,3,4,2,12
2,3,1,1,1,7
12,18,32,47,66,6
16,20,176,202,67,96
2,3,2,11,7,31
10,18,146,161,103,31
26,31,42,484,494,24
5,6,15,4,2,1
10,15,31,60,61,5
21,30,38,113,121,7
9,6,12,42,88,4
49,37,101,441,843,41
