2,2,2,4,104,2
1,6,1,12,19,1
34,40,67,247,700,46
9,14,16,44,403,13
5,3,4,38,20,3
19,27,31,120,441,25
10,8,16,85,218,6
14,12,13,20,94,9
22,24,46,48,199,19
4,1,1,0,0,1
2,1,0,0,0,0
2,2,11,16,7,6
3,4,5,5,10,2
2,3,2,4,11,8
5,3,2,14,7,12
2,1,5,29,4,8
11,4,6,5,21,11
3,2,4,19,4,14
5,5,10,7,9,1
1,1,1,2,1,1
3,3,4,6,67,23
6,12,5,113,62,75
4,2,3,3,2,20
9,9,6,69,149,13
13,14,21,52,334,43
3,2,3,6,6,11
10,2,12,35,39,7
7,8,13,74,42,2
5,6,2,2,18,5
37,14,44,109,273,121
4,8,8,24,10,113
5,3,4,2,7,36
11,6,7,8,10,166
9,3,5,13,23,102
9,5,7,5,5,118
7,10,7,7,7,154
1,1,3,7,3,3
1,1,6,1,3,36
6,3,10,6,11,17
4,3,3,1,2,9
3,4,3,7,7,133
2,4,1,2,3,71
1,1,1,2,3,1
6,2,3,5,5,66
5,4,2,1,2,25
5,11,21,23,64,12
2,1,1,10,9,4
9,8,18,37,148,13
14,11,11,7,13,346
3,6,10,2,3,42
3,6,3,7,5,131
6,4,6,6,11,136
5,1,1,1,0,0
4,5,1,2,3,34
5,2,6,4,34,2
2,12,3,3,3,1
37,12,18,13,58,14
3,2,6,6,5,55
5,2,3,4,5,20
8,3,7,9,3,66
5,6,5,13,19,64
6,4,4,9,2,138
8,9,8,3,5,113
1,3,0,3,0,0
5,4,3,4,13,5
11,4,5,2,6,11
1,1,1,1,2,0
1,0,2,0,1,40
1,1,3,1,6,3
2,3,2,6,0,0
17,8,12,16,15,1044
4,3,3,2,4,89
15,17,18,314,38,12
3,1,3,4,28,1
5,5,20,6,89,4
11,11,4,6,3,75
1,0,0,1,1,13
2,3,4,6,4,68
3,4,8,7,9,113
5,6,4,3,2,58
5,5,11,5,4,77
2,1,2,2,1,1
2,1,1,1,0,0
11,5,2,35,9,4
2,4,2,4,3,4
1,1,4,1,1,0
7,3,2,6,14,1
2,4,1,5,3,1
10,2,5,16,3,3
2,12,4,12,20,4
8,15,297,252,167,6
33,29,1014,749,1594,35
1,1,1,1,1,1
8,8,258,127,197,9
10,13,449,317,188,21
2,1,2,0,0,1
3,5,70,45,35,1
2,1,13,14,12,3
2,1,6,5,5,2
1,4,22,21,12,17
6,7,193,85,177,5
1,3,1,1,1,2
11,12,249,272,83,27
9,16,245,186,218,21
1,1,2,1,1,2
8,11,112,62,334,11
1,2,8,7,6,25
2,1,8,8,9,3
2,1,4,1,2,1
3,2,0,0,1,0
2,3,21,10,12,4
1,1,1,1,0,0
0,0,2,0,0,1
2,1,8,4,0,0
1,1,3,10,4,2
4,4,5,37,3,1
5,3,26,5,1,2
2,4,19,39,29,2
8,11,276,89,220,11
3,1,1,0,1,0
3,5,7,7,9,5
3,3,49,37,71,23
2,1,0,0,1,0
3,2,2,4,4,3
2,3,3,1,0,8
6,0,0,1,0,1
5,9,50,131,179,7
9,9,127,268,325,5
2,1,3,2,1,2
16,6,17,14,12,661
6,3,15,8,7,74
1,1,1,2,0,0
8,3,14,15,20,30
1,1,5,0,0,0
4,3,1,2,0,3
1,0,0,0,1,0
2,1,0,0,1,0
2,2,2,1,0,13
2,1,4,1,1,0
2,0,0,0,0,0
1,0,0,0,0,2
0,1,1,0,0,9
22,10,43,6,4,34
1,22,14,2,2,0
2,2,7,7,6,1
4,22,3,3,1,1
2,2,1,1,1,2
2,2,3,4,2,2
1,1,4,4,4,2
2,1,0,0,0,0
2,2,2,2,1,2
165,8,112,17,10,113
31,0,2,3,0,1
9,16,299,110,255,10
3,13,29,48,1,5
1,2,1,1,1,0
3,6,5,5,3,22
1,1,2,1,3,15
5,0,0,0,0,0
10,7,2,3,5,13
17,3,0,0,0,0
0,0,1,1,0,9
1,1,16,4,5,2
1,1,3,0,0,1
8,12,21,93,22,4
4,7,55,38,26,7
1,2,5,2,2,1
4,16,63,61,15,4
6,11,39,67,13,5
7,1,5,1,1,2
6,5,27,19,14,4
6,5,16,8,10,2
19,45,54,105,31,3
4,2,1,1,1,1
7,4,6,23,12,5
15,28,36,4,39,2
1,3,2,1,2,3
3,8,15,7,11,4
0,6,1,0,0,0
2,1,5,4,2,3
4,2,20,31,8,15
7,2,11,24,15,1
2,3,2,12,5,13
4,7,67,28,28,12
6,16,23,9,26,9
5,4,14,13,28,2
6,6,26,38,72,25
4,2,3,1,2,3
7,2,11,1,4,17
4,3,27,8,8,3
1,1,3,1,1,0
9,8,26,40,3,8
3,3,5,2,4,8
1,1,2,0,0,0
3,1,30,16,9,6
6,13,14,18,5,6
0,7,2,0,1,0
2,3,13,27,4,5
7,4,5,6,3,2
7,9,5,11,46,2
1,2,1,1,0,0
2,14,6,3,5,7
66,18,4,6,21,3
1,0,0,2,0,0
3,6,3,2,5,2
1,1,0,0,0,0
1,2,0,0,0,0
4,14,30,12,47,4
7,13,32,13,11,4
7,10,7,17,23,1
5,24,49,34,17,19
2,15,4,8,7,7
3,8,0,1,0,10
5,20,11,5,6,37
6,0,0,0,0,0
1,1,7,14,0,1
2,3,4,3,3,8
2,1,0,0,0,0
1,3,4,3,2,0
2,6,3,1,1,5
3,0,0,0,0,0
0,17,3,0,0,6
9,4,1,1,2,10
3,0,0,0,0,0
0,1,25,1,1,1
4,1,3,2,5,2
2,2,1,1,1,1
1,1,1,0,0,0
1,4,1,1,1,2
1,8,1,1,5,0
1,0,0,0,0,0
1,1,0,0,7,0
2,0,0,0,0,0
1,0,0,0,0,0
5,21,18,119,3,7
6,2,7,8,5,5
3,5,10,7,4,1
6,6,6,7,3,45
1,1,3,1,1,20
1,1,1,2,2,16
17,62,14,4,6,8
1,2,10,2,1,0
1,3,0,1,0,33
3,7,94,124,333,7
16,3,4,119,33,2
131,267,198,2068,3770,77
17,30,58,150,1049,18
23,15,31,86,185,10
132,114,161,1281,1827,42
24,34,75,702,98,8
14,14,14,536,87,9
36,38,64,483,427,27
3,2,3,4,2,1
1,1,1,1,1,1
2,15,8,7,9,21
5,7,13,18,44,7
9,6,19,72,49,4
7,20,50,13,158,4
3,5,5,151,31,4
15,19,15,587,491,14
13,7,4,224,42,4
2,3,11,11,9,11
3,1,4,1,1,6
18,4,33,140,66,10
22,30,119,286,581,41
7,19,12,10,12,66
13,30,199,107,542,104
53,34,269,419,2664,34
1,12,6,130,12,26
5,11,66,249,71,10
16,18,31,140,665,11
8,4,18,40,373,7
153,82,231,1146,1667,54
11,32,151,86,314,42
34,10,14,197,10,26
48,40,18,207,286,47
7,15,29,131,264,20
9,16,32,105,193,11
14,77,24,146,172,25
2,2,5,10,4,10
10,24,36,19,34,12
12,9,52,127,42,20
6,4,10,39,30,9
174,108,31,284,31,300
93,10,49,71,22,143
3,3,3,12,15,13
45,30,30,126,10,12
2,10,49,10,1,18
12,31,19,344,83,7
3,21,9,12,10,7
61,39,96,69,497,17
69,164,142,426,242,800
19,3,14,3,1,236
7,76,20,7,8,381
16,21,215,122,30,169
7,1,22,0,0,0
7,4,63,3,4,6
8,9,27,37,260,3
6,4,12,225,57,4
18,31,31,77,274,15
16,18,17,22,25,47
17,15,16,19,7,9
26,19,36,75,10,34
11,41,32,67,32,72
3,7,39,70,18,240
15,10,75,114,109,37
2,12,11,10,5,3
19,19,25,40,683,6
6,2,21,47,155,10
1,4,5,2,1,2
1,106,2,5,4,66
5,0,1,1,3,30
1,6,6,0,0,0
129,282,564,12,13,300
3,1,4,3,1,98
34,34,67,1115,793,22
8,5,23,10,78,1
7,12,61,315,10,12
5,25,17,10,10,157
17,0,1,0,0,0
3,1,6,5,6,136
3,19,27,11,4,140
3,2,1,7,2,55
4,5,15,4,5,95
2,7,3,3,1,1
1,5,1,0,0,1
59,37,31,235,210,17
3,11,28,13,11,2
26,25,23,10,2,3
22,16,29,163,40,16
3,11,10,18,61,6
125,39,95,275,57,12
34,15,162,37,76,6
18,152,1128,1130,309,17
141,212,5240,5434,2954,91
2,2,3,1,0,0
18,35,713,501,554,18
32,94,1571,2071,750,37
11,0,1,13,0,1
4,4,120,54,98,6
18,159,132,81,57,9
15,17,13,5,14,8
5,25,62,56,57,7
35,76,291,486,678,20
2,2,7,3,4,1
32,155,1042,490,1042,26
27,478,767,448,494,24
2,3,41,15,4,2
34,42,312,1192,1361,23
9,112,33,20,35,1
1,7,21,11,17,7
1,3,2,10,4,9
3,5,2,2,1,5
8,57,77,127,77,47
4,13,8,21,15,6
5,28,52,8,25,5
14,4,42,26,3,3
7,5,6,34,89,5
18,20,71,376,17,35
13,5,4,299,6,4
11,8,211,609,723,13
30,162,1175,1677,1398,26
0,14,1,2,1,17
6,17,52,146,64,219
7,87,623,253,45,35
0,2,3,0,1,50
4,9,35,24,16,19
9,4,13,134,33,4
23,1,2,0,5,61
25,14,633,421,317,9
20,96,546,1037,957,15
3,3,12,10,1,2
35,68,30,37,31,3073
72,244,5,5,4,61
5,2,14,2,1,2
14,26,43,66,29,183
2,24,3,0,0,0
2,9,1,1,2,0
2,3,3,9,4,1
0,0,0,24,0,0
35,13,20,3,3,4
9,8,5,4,5,4
28,2,76,2,1,1
0,0,0,1,0,28
7,21,24,29,44,11
12,182,170,536,27,261
16,191,107,4,2,6
10,6,29,60,26,1
65,35,236,36,91,7
99,8,7,2,2,2
6,8,10,10,12,27
223,295,2,10,10,43
96,3,1,2,0,0
4,1,3,4,2,10
3810,3185,3242,67,74,1348
496,173,510,8,5,4
22,111,448,1126,828,25
2,4,35,67,209,2
3,5,2,6,8,2
4,2,5,5,2,85
2,3,3,1,1,32
1,8,2,1,0,0
1,28,4,1,0,0
209,1,3,3,2,1
1,18,3,0,1,0
3,44,81,5,2,2
3,20,49,0,0,0
75,422,1594,756,330,54
15,80,438,269,137,9
3,1,108,1,0,0
65,147,1269,428,79,32
159,153,231,476,150,19
6,54,102,0,1,4
39,15,464,172,38,19
6,231,2,24,7,4
309,976,603,46,615,19
15,14,88,1,3,2
13,283,26,31,147,5
141,522,368,94,255,16
36,0,0,75,3,2
22,26,83,14,37,3
6,1,16,2,46,3
1,13,1,26,1,1
7,6,108,15,8,7
7,18,58,177,131,5
18,22,54,34,8,3
35,166,111,217,294,15
43,104,92,89,370,6
10,32,177,114,20,17
11,63,455,195,259,22
4,13,24,1,18,6
7,36,8,60,9,17
11,5,110,33,7,6
3,3,3,8,7,4
46,322,303,523,116,38
73,17,139,563,49,44
25,2,1,50,1,1
15,50,552,135,118,17
23,81,497,341,123,98
19,145,0,0,0,1
19,107,314,95,9,17
61,22,153,57,130,6
70,717,99,128,136,13
7,2,4,72,3,4
94,326,330,40,191,14
368,582,32,281,47,12
44,13,0,1,0,0
6,3,1,39,61,0
2,68,0,1,1,1
33,8,0,0,0,2
18,33,267,254,169,16
13,177,246,253,154,8
20,38,28,175,108,8
83,314,326,371,327,201
231,5,27,47,83,3
